1089746188	20130319	201303	2013	2013.2164	JUD	ADVOCATE						JUD													1	051	051	05	1	3.4	5	1	5	-0.558213716108449	2	Wyoming, United States	US	USWY		42.7475	-107.209	WY	0								2	Wyoming, United States	US	USWY		42.7475	-107.209	WY	20230317141500	https://www.wyomingnews.com/laramieboomerang/laramieboomerang/news/wyoming-suicide-rate-falls-for-first-time-in-four-years/article_3ae5c542-c43d-11ed-8b3f-f3a68cb06554.html
1089746189	20220317	202203	2022	2022.2110											EDU	UNIVERSITY						EDU			1	042	042	04	1	1.9	10	1	10	4.22960725075529	0								1	Sudan	SU	SU		16	30	SU	1	Sudan	SU	SU		16	30	SU	20230317141500	https://www.bbc.co.uk/news/uk-wales-64987582
1089746190	20220317	202203	2022	2022.2110											ROU	ROMANIA									0	060	060	06	2	6.0	2	1	2	-1.23853211009174	0								4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20230317141500	https://www.flightglobal.com/flight-international/is-ukraines-western-fighter-request-a-flight-of-fancy/152498.article
1089746191	20220317	202203	2022	2022.2110											ROU	ROMANIA									0	060	060	06	2	6.0	8	1	8	-1.23853211009174	0								1	Romania	RO	RO		46	25	RO	1	Romania	RO	RO		46	25	RO	20230317141500	https://www.flightglobal.com/flight-international/is-ukraines-western-fighter-request-a-flight-of-fancy/152498.article
1089746192	20220317	202203	2022	2022.2110	AFR	AFRICA	AFR								ETH	ETHIOPIA	ETH								0	043	043	04	1	2.8	10	1	10	2.04778156996587	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746193	20220317	202203	2022	2022.2110	AFR	AFRICA	AFR								GHA	GHANA	GHA								0	043	043	04	1	2.8	2	1	2	2.04778156996587	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746194	20220317	202203	2022	2022.2110	AFR	AFRICA	AFR								GHA	GHANA	GHA								0	043	043	04	1	2.8	8	1	8	2.04778156996587	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ghana	GH	GH		8	-2	GH	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746195	20220317	202203	2022	2022.2110	AFR	AFRICA	AFR								KEN	KENYA	KEN								0	043	043	04	1	2.8	2	1	2	2.04778156996587	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ghana	GH	GH		8	-2	GH	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746196	20220317	202203	2022	2022.2110	AFR	AFRICA	AFR								KEN	KENYA	KEN								0	043	043	04	1	2.8	8	1	8	2.04778156996587	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Kenya	KE	KE		1	38	KE	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746197	20220317	202203	2022	2022.2110	AFR	AFRICA	AFR								LSO	LESOTHO	LSO								0	043	043	04	1	2.8	2	1	2	2.04778156996587	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Kenya	KE	KE		1	38	KE	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
